close	Entropy: 1.32951978871	NN: 16	VB: 39	JJ: 80
sound	Entropy: 1.2839130607	NN: 127	VB: 24	JJ: 50
average	Entropy: 1.19928141459	NN: 59	VB: 5	JJ: 63
present	Entropy: 1.11808493653	NN: 44	VB: 39	JJ: 221
square	Entropy: 1.11551696711	NN: 78	VB: 8	JJ: 25
total	Entropy: 1.10708334256	NN: 129	VB: 6	JJ: 74
return	Entropy: 1.0554916834	NN: 103	VB: 72	JJ: 2
feed	Entropy: 1.00114011057	NN: 58	VB: 59	JJ: 0
set	Entropy: 1.00080713118	NN: 87	VB: 88	JJ: 0
need	Entropy: 1.00048983137	NN: 157	VB: 157	JJ: 0
back	Entropy: 0.999707938021	NN: 177	VB: 25	JJ: 27
fall	Entropy: 0.999637774792	NN: 71	VB: 65	JJ: 0
rise	Entropy: 0.999592356923	NN: 53	VB: 48	JJ: 0
care	Entropy: 0.998081051604	NN: 85	VB: 75	JJ: 0
visit	Entropy: 0.996347949885	NN: 59	VB: 50	JJ: 0
firm	Entropy: 0.995088815988	NN: 59	VB: 0	JJ: 49
play	Entropy: 0.992534495654	NN: 88	VB: 109	JJ: 0
act	Entropy: 0.991509498478	NN: 93	VB: 74	JJ: 0
General	Entropy: 0.990184722726	NN: 97	VB: 0	JJ: 76
increase	Entropy: 0.983438692581	NN: 112	VB: 82	JJ: 0
hope	Entropy: 0.973241836648	NN: 98	VB: 66	JJ: 0
cause	Entropy: 0.97113202095	NN: 77	VB: 51	JJ: 0
turn	Entropy: 0.966176587098	NN: 88	VB: 137	JJ: 0
future	Entropy: 0.956402068197	NN: 134	VB: 0	JJ: 81
lead	Entropy: 0.954079470758	NN: 47	VB: 79	JJ: 0
use	Entropy: 0.954066756484	NN: 353	VB: 211	JJ: 0
individual	Entropy: 0.943347945546	NN: 81	VB: 0	JJ: 144
right	Entropy: 0.940209541999	NN: 123	VB: 0	JJ: 222
start	Entropy: 0.939131128848	NN: 50	VB: 91	JJ: 0
front	Entropy: 0.927968497581	NN: 142	VB: 0	JJ: 74
public	Entropy: 0.922801452359	NN: 135	VB: 0	JJ: 265
note	Entropy: 0.916486070708	NN: 73	VB: 36	JJ: 0
mean	Entropy: 0.913517298537	NN: 12	VB: 158	JJ: 29
deal	Entropy: 0.906129351818	NN: 89	VB: 42	JJ: 0
change	Entropy: 0.905749946584	NN: 161	VB: 76	JJ: 0
support	Entropy: 0.888246511872	NN: 123	VB: 54	JJ: 0
help	Entropy: 0.886537044375	NN: 93	VB: 213	JJ: 0
run	Entropy: 0.880723194722	NN: 52	VB: 122	JJ: 0
light	Entropy: 0.872552492415	NN: 251	VB: 9	JJ: 60
answer	Entropy: 0.865339682404	NN: 107	VB: 43	JJ: 0
call	Entropy: 0.851095228118	NN: 50	VB: 131	JJ: 0
stand	Entropy: 0.838295293253	NN: 39	VB: 107	JJ: 0
show	Entropy: 0.835766864262	NN: 72	VB: 199	JJ: 0
talk	Entropy: 0.832428473386	NN: 40	VB: 112	JJ: 0
subject	Entropy: 0.827200040822	NN: 121	VB: 1	JJ: 36
look	Entropy: 0.826356393374	NN: 96	VB: 274	JJ: 0
report	Entropy: 0.809627987875	NN: 115	VB: 38	JJ: 0
love	Entropy: 0.806401217985	NN: 162	VB: 53	JJ: 0
fear	Entropy: 0.802626518976	NN: 93	VB: 30	JJ: 0
work	Entropy: 0.791552874062	NN: 577	VB: 180	JJ: 0
open	Entropy: 0.790273962851	NN: 4	VB: 55	JJ: 238
attack	Entropy: 0.788496248068	NN: 78	VB: 24	JJ: 0
account	Entropy: 0.784010029002	NN: 89	VB: 27	JJ: 0
stop	Entropy: 0.782988031426	NN: 26	VB: 86	JJ: 0
pay	Entropy: 0.777850239706	NN: 39	VB: 131	JJ: 0
past	Entropy: 0.765339311992	NN: 98	VB: 0	JJ: 28
demand	Entropy: 0.757555028049	NN: 79	VB: 22	JJ: 0
move	Entropy: 0.750471950095	NN: 36	VB: 132	JJ: 0
wish	Entropy: 0.741025716978	NN: 23	VB: 87	JJ: 0
press	Entropy: 0.73491284425	NN: 81	VB: 21	JJ: 0
current	Entropy: 0.71933863942	NN: 20	VB: 0	JJ: 81
result	Entropy: 0.709191995535	NN: 196	VB: 47	JJ: 0
aid	Entropy: 0.675557374841	NN: 102	VB: 22	JJ: 0
amount	Entropy: 0.668576580141	NN: 142	VB: 30	JJ: 0
whole	Entropy: 0.641634753242	NN: 50	VB: 0	JJ: 257
study	Entropy: 0.63576371562	NN: 199	VB: 38	JJ: 0
rest	Entropy: 0.62381492672	NN: 136	VB: 25	JJ: 0
step	Entropy: 0.620496692974	NN: 110	VB: 20	JJ: 0
hold	Entropy: 0.619129271801	NN: 25	VB: 138	JJ: 0
plan	Entropy: 0.618217840689	NN: 166	VB: 30	JJ: 0
test	Entropy: 0.612211506262	NN: 96	VB: 17	JJ: 0
influence	Entropy: 0.595564640913	NN: 113	VB: 19	JJ: 0
like	Entropy: 0.590797223096	NN: 0	VB: 211	JJ: 35
doubt	Entropy: 0.58966237502	NN: 97	VB: 16	JJ: 0
form	Entropy: 0.584694614167	NN: 301	VB: 49	JJ: 0
cost	Entropy: 0.583456846501	NN: 179	VB: 29	JJ: 0
face	Entropy: 0.578981659094	NN: 319	VB: 51	JJ: 0
cold	Entropy: 0.578580774831	NN: 22	VB: 0	JJ: 138
control	Entropy: 0.568958206182	NN: 181	VB: 28	JJ: 0
reach	Entropy: 0.567865030402	NN: 14	VB: 91	JJ: 0
stay	Entropy: 0.561073825431	NN: 14	VB: 93	JJ: 0
dark	Entropy: 0.556701519124	NN: 22	VB: 0	JJ: 148
charge	Entropy: 0.54771900268	NN: 104	VB: 15	JJ: 0
approach	Entropy: 0.536121991974	NN: 108	VB: 15	JJ: 0
force	Entropy: 0.53185511794	NN: 175	VB: 24	JJ: 0
lack	Entropy: 0.531749524688	NN: 95	VB: 13	JJ: 0
human	Entropy: 0.527153089212	NN: 35	VB: 0	JJ: 259
direct	Entropy: 0.523774303554	NN: 0	VB: 14	JJ: 105
figure	Entropy: 0.514117851324	NN: 147	VB: 19	JJ: 0
live	Entropy: 0.513567669796	NN: 0	VB: 155	JJ: 20
mind	Entropy: 0.512939732371	NN: 287	VB: 37	JJ: 0
stress	Entropy: 0.479161765508	NN: 96	VB: 11	JJ: 0
complete	Entropy: 0.471607512435	NN: 0	VB: 18	JJ: 161
end	Entropy: 0.470994846511	NN: 358	VB: 40	JJ: 0
trade	Entropy: 0.465285232829	NN: 119	VB: 13	JJ: 0
view	Entropy: 0.464604545841	NN: 165	VB: 18	JJ: 0
issue	Entropy: 0.461155342465	NN: 130	VB: 14	JJ: 0
place	Entropy: 0.459595239136	NN: 475	VB: 51	JJ: 0
level	Entropy: 0.443223759284	NN: 196	VB: 2	JJ: 15
record	Entropy: 0.410599556019	NN: 123	VB: 11	JJ: 0
matter	Entropy: 0.408659582249	NN: 281	VB: 25	JJ: 0
good	Entropy: 0.405577633357	NN: 61	VB: 0	JJ: 693
center	Entropy: 0.395845491514	NN: 175	VB: 9	JJ: 3
range	Entropy: 0.39578611866	NN: 142	VB: 12	JJ: 0
effect	Entropy: 0.385461497687	NN: 197	VB: 16	JJ: 0
feel	Entropy: 0.364563521724	NN: 15	VB: 201	JJ: 0
point	Entropy: 0.363864801132	NN: 349	VB: 26	JJ: 0
name	Entropy: 0.360820110544	NN: 272	VB: 20	JJ: 0
question	Entropy: 0.359043057492	NN: 233	VB: 17	JJ: 0
clear	Entropy: 0.354094893888	NN: 0	VB: 14	JJ: 196
military	Entropy: 0.35284605726	NN: 13	VB: 0	JJ: 183
experience	Entropy: 0.352071882504	NN: 254	VB: 18	JJ: 0
wrong	Entropy: 0.348331188862	NN: 8	VB: 0	JJ: 115
general	Entropy: 0.345633994458	NN: 20	VB: 0	JJ: 290
black	Entropy: 0.345581907407	NN: 8	VB: 1	JJ: 148
professional	Entropy: 0.326509754514	NN: 6	VB: 0	JJ: 95
fire	Entropy: 0.3236494492	NN: 160	VB: 10	JJ: 0
due	Entropy: 0.320069088355	NN: 7	VB: 0	JJ: 114
spring	Entropy: 0.315180828217	NN: 100	VB: 6	JJ: 0
fine	Entropy: 0.309229373873	NN: 6	VB: 1	JJ: 137
function	Entropy: 0.300703903583	NN: 107	VB: 6	JJ: 0
leave	Entropy: 0.292608067392	NN: 10	VB: 185	JJ: 0
date	Entropy: 0.283636792348	NN: 97	VB: 5	JJ: 0
red	Entropy: 0.282392717705	NN: 6	VB: 0	JJ: 117
kind	Entropy: 0.28002434159	NN: 295	VB: 0	JJ: 15
meet	Entropy: 0.275818076507	NN: 7	VB: 141	JJ: 0
free	Entropy: 0.275098962504	NN: 0	VB: 11	JJ: 222
order	Entropy: 0.273233276762	NN: 346	VB: 17	JJ: 0
choice	Entropy: 0.268092250009	NN: 105	VB: 0	JJ: 5
land	Entropy: 0.265538279196	NN: 191	VB: 9	JJ: 0
respect	Entropy: 0.246468214791	NN: 118	VB: 5	JJ: 0
list	Entropy: 0.236337430827	NN: 125	VB: 5	JJ: 0
progress	Entropy: 0.229891071218	NN: 104	VB: 4	JJ: 0
color	Entropy: 0.228355513604	NN: 131	VB: 5	JJ: 0
design	Entropy: 0.228280525301	NN: 105	VB: 4	JJ: 0
state	Entropy: 0.227568080017	NN: 524	VB: 20	JJ: 0
moral	Entropy: 0.224582926083	NN: 5	VB: 0	JJ: 134
surface	Entropy: 0.221349323819	NN: 191	VB: 0	JJ: 7
labor	Entropy: 0.213442334855	NN: 115	VB: 4	JJ: 0
common	Entropy: 0.213145797069	NN: 7	VB: 0	JJ: 201
plant	Entropy: 0.209394712195	NN: 118	VB: 4	JJ: 0
sense	Entropy: 0.205602968744	NN: 301	VB: 10	JJ: 0
